f0dp0	AAA43145	A/duck/33/1980	H3	1980	avian	gi|324086|gb|AAA43145| /Avian/HA/H3/4/Japan/1980/// hemagglutinin precursor [Influenza A virus (A/duck/33/1980(H3))]	1980/00/00/
f0dp118	AAT64756	A/England/261/91	H3N2	1991	human	gi|49339133|gb|AAT64756| /Human/HA/H3N2/4/United Kingdom/1991/// hemagglutinin[Influenza A virus (A/England/261/91(H3N2))]	1991/00/00/
f0dp119	AAT64757	A/Paris/320/92	H3N2	1992	human	gi|49339135|gb|AAT64757| /Human/HA/H3N2/4/France/1992/// hemagglutinin[Influenza A virus (A/Paris/320/92(H3N2))]	1992/00/00/
f0dp120	AAT64758	A/Paris/325/92	H3N2	1992	human	gi|49339137|gb|AAT64758| /Human/HA/H3N2/4/France/1992/// hemagglutinin[Influenza A virus (A/Paris/325/92(H3N2))]	1992/00/00/
f0dp121	AAT64759	A/Paris/407/92	H3N2	1992	human	gi|49339139|gb|AAT64759| /Human/HA/H3N2/4/France/1992/// hemagglutinin[Influenza A virus (A/Paris/407/92(H3N2))]	1992/00/00/
f0dp122	AAT64760	A/Paris/417/92	H3N2	1992	human	gi|49339141|gb|AAT64760| /Human/HA/H3N2/4/France/1992/// hemagglutinin[Influenza A virus (A/Paris/417/92(H3N2))]	1992/00/00/
f0dp123	AAT64761	A/Paris/424/92	H3N2	1992	human	gi|49339143|gb|AAT64761| /Human/HA/H3N2/4/France/1992/// hemagglutinin[Influenza A virus (A/Paris/424/92(H3N2))]	1992/00/00/
f0dp124	AAT64762	A/Paris/457/92	H3N2	1992	human	gi|49339145|gb|AAT64762| /Human/HA/H3N2/4/France/1992/// hemagglutinin[Influenza A virus (A/Paris/457/92(H3N2))]	1992/00/00/
f0dp125	AAT64763	A/Paris/467/92	H3N2	1992	human	gi|49339147|gb|AAT64763| /Human/HA/H3N2/4/France/1992/// hemagglutinin[Influenza A virus (A/Paris/467/92(H3N2))]	1992/00/00/
f0dp126	AAT64764	A/Paris/490/92	H3N2	1992	human	gi|49339149|gb|AAT64764| /Human/HA/H3N2/4/France/1992/// hemagglutinin[Influenza A virus (A/Paris/490/92(H3N2))]	1992/00/00/
f0dp127	AAT64765	A/Paris/512/92	H3N2	1992	human	gi|49339151|gb|AAT64765| /Human/HA/H3N2/4/France/1992/// hemagglutinin[Influenza A virus (A/Paris/512/92(H3N2))]	1992/00/00/
f0dp128	AAT64766	A/Paris/548/92	H3N2	1992	human	gi|49339153|gb|AAT64766| /Human/HA/H3N2/4/France/1992/// hemagglutinin[Influenza A virus (A/Paris/548/92(H3N2))]	1992/00/00/
f0dp129	AAT64767	A/Paris/564/92	H3N2	1992	human	gi|49339155|gb|AAT64767| /Human/HA/H3N2/4/France/1992/// hemagglutinin[Influenza A virus (A/Paris/564/92(H3N2))]	1992/00/00/
f0dp130	AAT64768	A/Paris/583/92	H3N2	1992	human	gi|49339157|gb|AAT64768| /Human/HA/H3N2/4/France/1992/// hemagglutinin[Influenza A virus (A/Paris/583/92(H3N2))]	1992/00/00/
f0dp131	AAT64769	A/Paris/597/92	H3N2	1992	human	gi|49339159|gb|AAT64769| /Human/HA/H3N2/4/France/1992/// hemagglutinin[Influenza A virus (A/Paris/597/92(H3N2))]	1992/00/00/
f0dp132	AAT64770	A/Paris/614/92	H3N2	1992	human	gi|49339161|gb|AAT64770| /Human/HA/H3N2/4/France/1992/// hemagglutinin[Influenza A virus (A/Paris/614/92(H3N2))]	1992/00/00/
f0dp133	AAT64771	A/Enschede/1285/92	H3N2	1992	human	gi|49339163|gb|AAT64771| /Human/HA/H3N2/4/Netherlands/1992/// hemagglutinin[Influenza A virus (A/Enschede/1285/92(H3N2))]	1992/00/00/
f0dp134	AAT64772	A/Netherlands/935/92	H3N2	1992	human	gi|49339165|gb|AAT64772| /Human/HA/H3N2/4/Netherlands/1992/// hemagglutinin[Influenza A virus (A/Netherlands/935/92(H3N2))]	1992/00/00/
f0dp135	AAT64773	A/Lyon/1149/91	H3N2	1991	human	gi|49339167|gb|AAT64773| /Human/HA/H3N2/4/France/1991/// hemagglutinin[Influenza A virus (A/Lyon/1149/91(H3N2))]	1991/00/00/
f0dp136	AAT64774	A/Lyon/1182/91	H3N2	1991	human	gi|49339169|gb|AAT64774| /Human/HA/H3N2/4/France/1991/// hemagglutinin[Influenza A virus (A/Lyon/1182/91(H3N2))]	1991/00/00/
f0dp137	AAT64775	A/Lyon/ons1189/91	H3N2	1991	human	gi|49339171|gb|AAT64775| /Human/HA/H3N2/4/France/1991/// hemagglutinin[Influenza A virus (A/Lyon/ons1189/91(H3N2))]	1991/00/00/
f0dp138	AAT64776	A/Lyon/ons1594/91	H3N2	1991	human	gi|49339173|gb|AAT64776| /Human/HA/H3N2/4/France/1991/// hemagglutinin[Influenza A virus (A/Lyon/ons1594/91(H3N2))]	1991/00/00/
f0dp139	AAT64777	A/Lyon/ons1373/91	H3N2	1991	human	gi|49339175|gb|AAT64777| /Human/HA/H3N2/4/France/1991/// hemagglutinin[Influenza A virus (A/Lyon/ons1373/91(H3N2))]	1991/00/00/
f0dp140	AAT64778	A/Lyon/ons1276/91	H3N2	1991	human	gi|49339177|gb|AAT64778| /Human/HA/H3N2/4/France/1991/// hemagglutinin[Influenza A virus (A/Lyon/ons1276/91(H3N2))]	1991/00/00/
f0dp141	AAT64779	A/Lyon/ons1337/91	H3N2	1991	human	gi|49339179|gb|AAT64779| /Human/HA/H3N2/4/France/1991/// hemagglutinin[Influenza A virus (A/Lyon/ons1337/91(H3N2))]	1991/00/00/
f0dp142	AAT64780	A/Lyon/chu23672/91	H3N2	1991	human	gi|49339181|gb|AAT64780| /Human/HA/H3N2/4/France/1991/// hemagglutinin[Influenza A virus (A/Lyon/chu23672/91(H3N2))]	1991/00/00/
f0dp143	AAT64781	A/Lyon/chu24103/91	H3N2	1991	human	gi|49339183|gb|AAT64781| /Human/HA/H3N2/4/France/1991/// hemagglutinin[Influenza A virus (A/Lyon/chu24103/91(H3N2))]	1991/00/00/
f0dp144	AAT64782	A/Lyon/chu24222/91	H3N2	1991	human	gi|49339185|gb|AAT64782| /Human/HA/H3N2/4/France/1991/// hemagglutinin[Influenza A virus (A/Lyon/chu24222/91(H3N2))]	1991/00/00/
f0dp145	AAT64783	A/Netherlands/823/92 	H3N2	1992	human	gi|49339187|gb|AAT64783| /Human/HA/H3N2/4/Netherlands/1992/// hemagglutinin[Influenza A virus (A/Netherlands/823/92 (H3N2))]	1992/00/00/
f0dp146	AAT64784	A/Finland/218/1992	H3N2	1992	human	gi|49339189|gb|AAT64784| /Human/HA/H3N2/4/Finland/1992/// hemagglutinin[Influenza A virus (A/Finland/218/1992(H3N2))]	1992/00/00/
f0dp147	AAT64785	A/Finland/220/1992	H3N2	1992	human	gi|49339191|gb|AAT64785| /Human/HA/H3N2/4/Finland/1992/// hemagglutinin[Influenza A virus (A/Finland/220/1992(H3N2))]	1992/00/00/
f0dp148	AAT64786	A/Geneva/5113/92	H3N2	1992	human	gi|49339193|gb|AAT64786| /Human/HA/H3N2/4/Switzerland/1992/// hemagglutinin[Influenza A virus (A/Geneva/5113/92(H3N2))]	1992/00/00/
f0dp149	AAT64787	A/Rotterdam/100540/92	H3N2	1992	human	gi|49339195|gb|AAT64787| /Human/HA/H3N2/4/Netherlands/1992/// hemagglutinin[Influenza A virus (A/Rotterdam/100540/92(H3N2))]	1992/00/00/
f0dp150	AAT64788	A/Nijmegen/3126/92	H3N2	1992	human	gi|49339197|gb|AAT64788| /Human/HA/H3N2/4/Netherlands/1992/// hemagglutinin[Influenza A virus (A/Nijmegen/3126/92(H3N2))]	1992/00/00/
f0dp151	AAT64789	A/Nijmegen/3129/92	H3N2	1992	human	gi|49339199|gb|AAT64789| /Human/HA/H3N2/4/Netherlands/1992/// hemagglutinin[Influenza A virus (A/Nijmegen/3129/92(H3N2))]	1992/00/00/
f0dp152	AAT64790	A/Amsterdam/4112/92	H3N2	1992	human	gi|49339201|gb|AAT64790| /Human/HA/H3N2/4/Netherlands/1992/// hemagglutinin[Influenza A virus (A/Amsterdam/4112/92(H3N2))]	1992/00/00/
f0dp153	AAT64791	A/Tilburg/5957/92	H3N2	1992	human	gi|49339203|gb|AAT64791| /Human/HA/H3N2/4/Netherlands/1992/// hemagglutinin[Influenza A virus (A/Tilburg/5957/92(H3N2))]	1992/00/00/
f0dp154	AAT64792	A/Madrid/G58/92	H3N2	1992	human	gi|49339205|gb|AAT64792| /Human/HA/H3N2/4/Spain/1992/// hemagglutinin[Influenza A virus (A/Madrid/G58/92(H3N2))]	1992/00/00/
f0dp155	AAT64793	A/Madrid/OV31/92	H3N2	1992	human	gi|49339207|gb|AAT64793| /Human/HA/H3N2/4/Spain/1992/// hemagglutinin[Influenza A virus (A/Madrid/OV31/92(H3N2))]	1992/00/00/
f0dp156	AAT64794	A/Stockholm/20/91	H3N2	1991	human	gi|49339209|gb|AAT64794| /Human/HA/H3N2/4/Sweden/1991/// hemagglutinin[Influenza A virus (A/Stockholm/20/91(H3N2))]	1991/00/00/
f0dp157	AAT64795	A/Stockholm/7/92	H3N2	1992	human	gi|49339211|gb|AAT64795| /Human/HA/H3N2/4/Sweden/1992/// hemagglutinin[Influenza A virus (A/Stockholm/7/92(H3N2))]	1992/00/00/
f0dp158	AAT64796	A/Stockholm/8/92	H3N2	1992	human	gi|49339213|gb|AAT64796| /Human/HA/H3N2/4/Sweden/1992/// hemagglutinin[Influenza A virus (A/Stockholm/8/92(H3N2))]	1992/00/00/
f0dp159	AAT64797	A/Houston/56829/92	H3N2	1992	human	gi|49339215|gb|AAT64797| /Human/HA/H3N2/4/USA/1992/// hemagglutinin[Influenza A virus (A/Houston/56829/92(H3N2))]	1992/00/00/
f0dp160	AAT64798	A/Houston/56941/92	H3N2	1992	human	gi|49339217|gb|AAT64798| /Human/HA/H3N2/4/USA/1992/// hemagglutinin[Influenza A virus (A/Houston/56941/92(H3N2))]	1992/00/00/
f0dp161	AAT64799	A/Houston/56798/92	H3N2	1992	human	gi|49339219|gb|AAT64799| /Human/HA/H3N2/4/USA/1992/// hemagglutinin[Influenza A virus (A/Houston/56798/92(H3N2))]	1992/00/00/
f0dp162	AAT64800	A/Netherlands/938/92	H3N2	1992	human	gi|49339221|gb|AAT64800| /Human/HA/H3N2/4/Netherlands/1992/// hemagglutinin[Influenza A virus (A/Netherlands/938/92(H3N2))]	1992/00/00/
f0dp163	AAT64801	A/South Australia/8/1992	H3N2	1992	human	gi|49339223|gb|AAT64801| /Human/HA/H3N2/4/Australia/1992/// hemagglutinin[Influenza A virus (A/South Australia/8/1992(H3N2))]	1992/00/00/
f0dp164	AAT64802	A/South Australia/23/1992	H3N2	1992	human	gi|49339225|gb|AAT64802| /Human/HA/H3N2/4/Australia/1992/// hemagglutinin[Influenza A virus (A/South Australia/23/1992(H3N2))]	1992/00/00/
f0dp165	AAT64803	A/South Australia/27/1992	H3N2	1992	human	gi|49339227|gb|AAT64803| /Human/HA/H3N2/4/Australia/1992/// hemagglutinin[Influenza A virus (A/South Australia/27/1992(H3N2))]	1992/00/00/
f0dp166	AAT64804	A/Sendai/C273/92	H3N2	1992	human	gi|49339229|gb|AAT64804| /Human/HA/H3N2/4/Japan/1992/// hemagglutinin[Influenza A virus (A/Sendai/C273/92(H3N2))]	1992/00/00/
f0dp167	AAT64805	A/Beijing/32/1992	H3N2	1992	human	gi|49339231|gb|AAT64805| /Human/HA/H3N2/4/China/1992/// hemagglutinin[Influenza A virus (A/Beijing/32/1992(H3N2))]	1992/00/00/
f0dp168	AAT64806	A/Netherlands/3/93	H3N2	1993	human	gi|49339233|gb|AAT64806| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Netherlands/3/93(H3N2))]	1993/00/00/
f0dp169	AAT64807	A/Paris/287/93	H3N2	1993	human	gi|49339235|gb|AAT64807| /Human/HA/H3N2/4/France/1993/// hemagglutinin[Influenza A virus (A/Paris/287/93(H3N2))]	1993/00/00/
f0dp170	AAT64808	A/Netherlands/17/93	H3N2	1993	human	gi|49339237|gb|AAT64808| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Netherlands/17/93(H3N2))]	1993/00/00/
f0dp171	AAT64809	A/Umea/1982/92	H3N2	1992	human	gi|49339239|gb|AAT64809| /Human/HA/H3N2/4/Sweden/1992/// hemagglutinin[Influenza A virus (A/Umea/1982/92(H3N2))]	1992/00/00/
f0dp172	AAT64810	A/Umea/2000/92	H3N2	1992	human	gi|49339241|gb|AAT64810| /Human/HA/H3N2/4/Sweden/1992/// hemagglutinin[Influenza A virus (A/Umea/2000/92(H3N2))]	1992/00/00/
f0dp173	AAT64811	A/Stockholm/12/92	H3N2	1992	human	gi|49339243|gb|AAT64811| /Human/HA/H3N2/4/Sweden/1992/// hemagglutinin[Influenza A virus (A/Stockholm/12/92(H3N2))]	1992/00/00/
f0dp174	AAT64812	A/Stockholm/13/92	H3N2	1992	human	gi|49339245|gb|AAT64812| /Human/HA/H3N2/4/Sweden/1992/// hemagglutinin[Influenza A virus (A/Stockholm/13/92(H3N2))]	1992/00/00/
f0dp175	AAT64813	A/Finland/247/1992	H3N2	1992	human	gi|49339247|gb|AAT64813| /Human/HA/H3N2/4/Finland/1992/// hemagglutinin[Influenza A virus (A/Finland/247/1992(H3N2))]	1992/00/00/
f0dp176	AAT64814	A/Netherlands/101/93 	H3N2	1993	human	gi|49339249|gb|AAT64814| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Netherlands/101/93 (H3N2))]	1993/00/00/
f0dp177	AAT64815	A/Netherlands/115/93 	H3N2	1993	human	gi|49339251|gb|AAT64815| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Netherlands/115/93 (H3N2))]	1993/00/00/
f0dp178	AAT64816	A/Netherlands/126/93 	H3N2	1993	human	gi|49339253|gb|AAT64816| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Netherlands/126/93 (H3N2))]	1993/00/00/
f0dp179	AAT64817	A/Madrid/G116/93	H3N2	1993	human	gi|49339255|gb|AAT64817| /Human/HA/H3N2/4/Spain/1993/// hemagglutinin[Influenza A virus (A/Madrid/G116/93(H3N2))]	1993/00/00/
f0dp180	AAT64818	A/Madrid/G101/93	H3N2	1993	human	gi|49339257|gb|AAT64818| /Human/HA/H3N2/4/Spain/1993/// hemagglutinin[Influenza A virus (A/Madrid/G101/93(H3N2))]	1993/00/00/
f0dp181	AAT64819	A/Madrid/G102/93	H3N2	1993	human	gi|49339259|gb|AAT64819| /Human/HA/H3N2/4/Spain/1993/// hemagglutinin[Influenza A virus (A/Madrid/G102/93(H3N2))]	1993/00/00/
f0dp182	AAT64820	A/Madrid/G109/93	H3N2	1993	human	gi|49339261|gb|AAT64820| /Human/HA/H3N2/4/Spain/1993/// hemagglutinin[Influenza A virus (A/Madrid/G109/93(H3N2))]	1993/00/00/
f0dp183	AAT64821	A/Netherlands/165/93 	H3N2	1993	human	gi|49339263|gb|AAT64821| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Netherlands/165/93 (H3N2))]	1993/00/00/
f0dp184	AAT64822	A/Madrid/G122/93	H3N2	1993	human	gi|49339265|gb|AAT64822| /Human/HA/H3N2/4/Spain/1993/// hemagglutinin[Influenza A virus (A/Madrid/G122/93(H3N2))]	1993/00/00/
f0dp185	AAT64823	A/Madrid/G130/93	H3N2	1993	human	gi|49339267|gb|AAT64823| /Human/HA/H3N2/4/Spain/1993/// hemagglutinin[Influenza A virus (A/Madrid/G130/93(H3N2))]	1993/00/00/
f0dp186	AAT64824	A/Netherlands/179/93	H3N2	1993	human	gi|49339269|gb|AAT64824| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Netherlands/179/93(H3N2))]	1993/00/00/
f0dp187	AAT64825	A/Enschede/5458/93	H3N2	1993	human	gi|49339271|gb|AAT64825| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Enschede/5458/93(H3N2))]	1993/00/00/
f0dp188	AAT64826	A/Madrid/G252/93	H3N2	1993	human	gi|49339273|gb|AAT64826| /Human/HA/H3N2/4/Spain/1993/// hemagglutinin[Influenza A virus (A/Madrid/G252/93(H3N2))]	1993/00/00/
f0dp189	AAT64827	A/Yamagata/56/93	H3N2	1993	human	gi|49339275|gb|AAT64827| /Human/HA/H3N2/4/Japan/1993/// hemagglutinin[Influenza A virus (A/Yamagata/56/93(H3N2))]	1993/00/00/
f0dp190	AAT64828	A/Yamagata/61/93	H3N2	1993	human	gi|49339277|gb|AAT64828| /Human/HA/H3N2/4/Japan/1993/// hemagglutinin[Influenza A virus (A/Yamagata/61/93(H3N2))]	1993/00/00/
f0dp191	AAT64829	A/Yamagata/62/93	H3N2	1993	human	gi|49339279|gb|AAT64829| /Human/HA/H3N2/4/Japan/1993/// hemagglutinin[Influenza A virus (A/Yamagata/62/93(H3N2))]	1993/00/00/
f0dp192	AAT64830	A/Akita/4/93	H3N2	1993	human	gi|49339281|gb|AAT64830| /Human/HA/H3N2/4/Japan/1993/// hemagglutinin[Influenza A virus (A/Akita/4/93(H3N2))]	1993/00/00/
f0dp193	AAT64831	A/Shiga/6/93	H3N2	1993	human	gi|49339283|gb|AAT64831| /Human/HA/H3N2/4/Japan/1993/// hemagglutinin[Influenza A virus (A/Shiga/6/93(H3N2))]	1993/00/00/
f0dp194	AAT64832	A/Victoria/104/93	H3N2	1993	human	gi|49339285|gb|AAT64832| /Human/HA/H3N2/4/Australia/1993/// hemagglutinin[Influenza A virus (A/Victoria/104/93(H3N2))]	1993/00/00/
f0dp195	AAT64833	A/Wellington/59/93	H3N2	1993	human	gi|49339287|gb|AAT64833| /Human/HA/H3N2/4/New Zealand/1993/// hemagglutinin[Influenza A virus (A/Wellington/59/93(H3N2))]	1993/00/00/
f0dp196	AAT64834	A/Shangdong/9/1993	H3N2	1993	human	gi|49339289|gb|AAT64834| /Human/HA/H3N2/4/China/1993/// hemagglutinin[Influenza A virus (A/Shangdong/9/1993(H3N2))]	1993/00/00/
f0dp197	AAT64835	A/Netherlands/241/93	H3N2	1993	human	gi|49339291|gb|AAT64835| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Netherlands/241/93(H3N2))]	1993/00/00/
f0dp198	AAT64836	A/Stockholm/20/93	H3N2	1993	human	gi|49339293|gb|AAT64836| /Human/HA/H3N2/4/Sweden/1993/// hemagglutinin[Influenza A virus (A/Stockholm/20/93(H3N2))]	1993/00/00/
f0dp199	AAT64837	A/Netherlands/357/93	H3N2	1993	human	gi|49339295|gb|AAT64837| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Netherlands/357/93(H3N2))]	1993/00/00/
f0dp200	AAT64838	A/Netherlands/372/93	H3N2	1993	human	gi|49339297|gb|AAT64838| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Netherlands/372/93(H3N2))]	1993/00/00/
f0dp201	AAT64839	A/Netherlands/371/93 	H3N2	1993	human	gi|49339299|gb|AAT64839| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Netherlands/371/93 (H3N2))]	1993/00/00/
f0dp202	AAT64840	A/Netherlands/440/93	H3N2	1993	human	gi|49339301|gb|AAT64840| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Netherlands/440/93(H3N2))]	1993/00/00/
f0dp203	AAT64841	A/Netherlands/398/93 	H3N2	1993	human	gi|49339303|gb|AAT64841| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Netherlands/398/93 (H3N2))]	1993/00/00/
f0dp204	AAT64842	A/Netherlands/399/93	H3N2	1993	human	gi|49339305|gb|AAT64842| /Human/HA/H3N2/4/Netherlands/1993/// hemagglutinin[Influenza A virus (A/Netherlands/399/93(H3N2))]	1993/00/00/
f0dp205	AAT64843	A/Lyon/672/93	H3N2	1993	human	gi|49339307|gb|AAT64843| /Human/HA/H3N2/4/France/1993/// hemagglutinin[Influenza A virus (A/Lyon/672/93(H3N2))]	1993/00/00/
f0dp206	AAT64844	A/Lyon/1803/93	H3N2	1993	human	gi|49339309|gb|AAT64844| /Human/HA/H3N2/4/France/1993/// hemagglutinin[Influenza A virus (A/Lyon/1803/93(H3N2))]	1993/00/00/
f0dp207	AAT64845	A/Lyon/1815/93	H3N2	1993	human	gi|49339311|gb|AAT64845| /Human/HA/H3N2/4/France/1993/// hemagglutinin[Influenza A virus (A/Lyon/1815/93(H3N2))]	1993/00/00/
f0dp208	AAT64846	A/Lyon/22686/93	H3N2	1993	human	gi|49339313|gb|AAT64846| /Human/HA/H3N2/4/France/1993/// hemagglutinin[Influenza A virus (A/Lyon/22686/93(H3N2))]	1993/00/00/
f0dp209	AAT64847	A/Lyon/23602/93	H3N2	1993	human	gi|49339315|gb|AAT64847| /Human/HA/H3N2/4/France/1993/// hemagglutinin[Influenza A virus (A/Lyon/23602/93(H3N2))]	1993/00/00/
f0dp210	AAT64848	A/Oslo/2219/93	H3N2	1993	human	gi|49339317|gb|AAT64848| /Human/HA/H3N2/4/Norway/1993/// hemagglutinin[Influenza A virus (A/Oslo/2219/93(H3N2))]	1993/00/00/
f0dp211	AAT64849	A/Oslo/2352/93	H3N2	1993	human	gi|49339319|gb|AAT64849| /Human/HA/H3N2/4/Norway/1993/// hemagglutinin[Influenza A virus (A/Oslo/2352/93(H3N2))]	1993/00/00/
f0dp212	AAT64850	A/Hong Kong/1/1994	H3N2	1994	human	gi|49339321|gb|AAT64850| /Human/HA/H3N2/4/Hong Kong/1994/// hemagglutinin[Influenza A virus (A/Hong Kong/1/1994(H3N2))]	1994/00/00/
f0dp213	AAT64851	A/South Australia/15/1994	H3N2	1994	human	gi|49339323|gb|AAT64851| /Human/HA/H3N2/4/Australia/1994/// hemagglutinin[Influenza A virus (A/South Australia/15/1994(H3N2))]	1994/00/00/
f0dp214	AAT64852	A/South Australia/25/1994	H3N2	1994	human	gi|49339325|gb|AAT64852| /Human/HA/H3N2/4/Australia/1994/// hemagglutinin[Influenza A virus (A/South Australia/25/1994(H3N2))]	1994/00/00/
f0dp215	AAT64853	A/Hong Kong/56/1994	H3N2	1994	human	gi|49339327|gb|AAT64853| /Human/HA/H3N2/4/Hong Kong/1994/// hemagglutinin[Influenza A virus (A/Hong Kong/56/1994(H3N2))]	1994/00/00/
f0dp216	AAT64854	A/Johannesburg/47/94	H3N2	1994	human	gi|49339329|gb|AAT64854| /Human/HA/H3N2/4/South Africa/1994/// hemagglutinin[Influenza A virus (A/Johannesburg/47/94(H3N2))]	1994/00/00/
f0dp217	AAT64855	A/Johannesburg/33/1994	H3N2	1994	human	gi|49339331|gb|AAT64855| /Human/HA/H3N2/4/South Africa/1994/// hemagglutinin[Influenza A virus (A/Johannesburg/33/1994(H3N2))]	1994/00/00/
f0dp218	AAT64856	A/Netherlands/1/95	H3N2	1995	human	gi|49339333|gb|AAT64856| /Human/HA/H3N2/4/Netherlands/1995/// hemagglutinin[Influenza A virus (A/Netherlands/1/95(H3N2))]	1995/00/00/
f0dp219	AAT64857	A/Geneva/AI9509/95	H3N2	1995	human	gi|49339335|gb|AAT64857| /Human/HA/H3N2/4/Switzerland/1995/// hemagglutinin[Influenza A virus (A/Geneva/AI9509/95(H3N2))]	1995/00/00/
f0dp220	AAT64858	A/Finland/338/1995 	H3N2	1995	human	gi|49339337|gb|AAT64858| /Human/HA/H3N2/4/Finland/1995/// hemagglutinin[Influenza A virus (A/Finland/338/1995 (H3N2))]	1995/00/00/
f0dp221	AAT64859	A/Finland/339/1995	H3N2	1995	human	gi|49339339|gb|AAT64859| /Human/HA/H3N2/4/Finland/1995/// hemagglutinin[Influenza A virus (A/Finland/339/1995(H3N2))]	1995/00/00/
f0dp222	AAT64860	A/Hong Kong/32/1995	H3N2	1995	human	gi|49339341|gb|AAT64860| /Human/HA/H3N2/4/Hong Kong/1995/// hemagglutinin[Influenza A virus (A/Hong Kong/32/1995(H3N2))]	1995/00/00/
f0dp223	AAT64861	A/Hong Kong/38/1995	H3N2	1995	human	gi|49339343|gb|AAT64861| /Human/HA/H3N2/4/Hong Kong/1995/// hemagglutinin[Influenza A virus (A/Hong Kong/38/1995(H3N2))]	1995/00/00/
f0dp224	AAT64862	A/Hong Kong/49/1995	H3N2	1995	human	gi|49339345|gb|AAT64862| /Human/HA/H3N2/4/Hong Kong/1995/// hemagglutinin[Influenza A virus (A/Hong Kong/49/1995(H3N2))]	1995/00/00/
f0dp225	AAT64863	A/Victoria/75/95	H3N2	1995	human	gi|49339347|gb|AAT64863| /Human/HA/H3N2/4/Australia/1995/// hemagglutinin[Influenza A virus (A/Victoria/75/95(H3N2))]	1995/00/00/
f0dp226	AAT64864	A/Hong Kong/55/1995	H3N2	1995	human	gi|49339349|gb|AAT64864| /Human/HA/H3N2/4/Hong Kong/1995/// hemagglutinin[Influenza A virus (A/Hong Kong/55/1995(H3N2))]	1995/00/00/
f0dp227	AAT64865	A/Wuhan/359/1995	H3N2	1995	human	gi|49339351|gb|AAT64865| /Human/HA/H3N2/4/China/1995/// hemagglutinin[Influenza A virus (A/Wuhan/359/1995(H3N2))]	1995/00/00/
f0dp228	AAT64866	A/Netherlands/271/95	H3N2	1995	human	gi|49339353|gb|AAT64866| /Human/HA/H3N2/4/Netherlands/1995/// hemagglutinin[Influenza A virus (A/Netherlands/271/95(H3N2))]	1995/00/00/
f0dp229	AAT64867	A/Lyon/2279/95	H3N2	1995	human	gi|49339355|gb|AAT64867| /Human/HA/H3N2/4/France/1995/// hemagglutinin[Influenza A virus (A/Lyon/2279/95(H3N2))]	1995/00/00/
f0dp230	AAT64868	A/Hong Kong/20/1996	H3N2	1996	human	gi|49339357|gb|AAT64868| /Human/HA/H3N2/4/Hong Kong/1996/// hemagglutinin[Influenza A virus (A/Hong Kong/20/1996(H3N2))]	1996/00/00/
f0dp231	AAT64869	A/Netherlands/91/96	H3N2	1996	human	gi|49339359|gb|AAT64869| /Human/HA/H3N2/4/Netherlands/1996/// hemagglutinin[Influenza A virus (A/Netherlands/91/96(H3N2))]	1996/00/00/
f0dp232	AAT64870	A/Geneva/3958/96	H3N2	1996	human	gi|49339361|gb|AAT64870| /Human/HA/H3N2/4/Switzerland/1996/// hemagglutinin[Influenza A virus (A/Geneva/3958/96(H3N2))]	1996/00/00/
f0dp233	AAT64871	A/Finland/381/1995	H3N2	1995	human	gi|49339363|gb|AAT64871| /Human/HA/H3N2/4/Finland/1995/// hemagglutinin[Influenza A virus (A/Finland/381/1995(H3N2))]	1995/00/00/
f0dp234	AAT64872	A/Brisbane/8/96	H3N2	1996	human	gi|49339365|gb|AAT64872| /Human/HA/H3N2/4/Australia/1996/// hemagglutinin[Influenza A virus (A/Brisbane/8/96(H3N2))]	1996/00/00/
f0dp235	AAT64873	A/Singapore/1/96	H3N2	1996	human	gi|49339367|gb|AAT64873| /Human/HA/H3N2/4/Singapore/1996/// hemagglutinin[Influenza A virus (A/Singapore/1/96(H3N2))]	1996/00/00/
f0dp236	AAT64876	A/Auckland/10/97	H3N2	1997	human	gi|49339373|gb|AAT64876| /Human/HA/H3N2/4/New Zealand/1997/// hemagglutinin[Influenza A virus (A/Auckland/10/97(H3N2))]	1997/00/00/
f0dp237	AAT64877	A/Hong Kong/1/1997	H3N2	1997	human	gi|49339375|gb|AAT64877| /Human/HA/H3N2/4/Hong Kong/1997/// hemagglutinin[Influenza A virus (A/Hong Kong/1/1997(H3N2))]	1997/00/00/
